x,y,z,rot_0,rot_1,rot_2,rot_3,scale_0,scale_1,scale_2,opacity,f_dc_0,f_dc_1,f_dc_2
-1.2392452955245972,0.00992978923022747,-1.2402416467666626,0.3945787847042084,0.8871830701828003,0.08519849181175232,-0.22350624203681946,-2.9723732471466064,-4.13995361328125,-4.871035099029541,0.06819088011980057,1.291906714439392,1.5089960098266602,-1.7515989542007446
-1.134486198425293,0.024359770119190216,-1.2636346817016602,0.662129819393158,-0.6102296113967896,-0.39196664094924927,-0.1885898858308792,-2.174727439880371,-3.957658529281616,-4.131672382354736,-1.1033060550689697,1.7241469621658325,1.7556840181350708,1.6739981174468994
-1.187566876411438,0.009961498901247978,-1.1918025016784668,0.9159783720970154,-0.3551580607891083,0.17297157645225525,0.07019439339637756,-2.9984452724456787,-3.9338808059692383,-4.440998077392578,-0.15401791036128998,1.6284688711166382,1.690183401107788,-1.5129766464233398
-1.1053690910339355,0.010353067889809608,-1.2809957265853882,0.8045096397399902,0.5880081057548523,0.08345775306224823,-0.006748611573129892,-3.4199507236480713,-4.170689582824707,-4.7100677490234375,0.1466960459947586,1.4648830890655518,1.6433560848236084,-1.1729588508605957
-1.1082162857055664,0.014177892357110977,-1.278185486793518,0.738700807094574,0.6120567917823792,0.09973887354135513,-0.26412075757980347,-3.601919651031494,-4.142764568328857,-5.044325351715088,0.20108984410762787,0.8471953868865967,1.1189621686935425,-1.568089246749878
-1.0993578433990479,0.006312423385679722,-1.2509006261825562,-0.47658368945121765,-0.04959091916680336,0.874579668045044,0.07429064810276031,-3.835693597793579,-4.688631057739258,-5.023249626159668,16.11809539794922,0.16477397084236145,0.4754493832588196,-1.5131604671478271
-1.094762921333313,0.008126365020871162,-1.2227849960327148,0.6566868424415588,0.7313603758811951,0.1486520916223526,-0.10852167755365372,-3.670299530029297,-3.7734556198120117,-4.475971221923828,-0.20596882700920105,0.576093316078186,0.8209277391433716,-1.5501264333724976
-0.932462751865387,0.0046941014006733894,-1.2566629648208618,0.6890621185302734,0.7194943428039551,0.07541646808385849,-0.042821187525987625,-2.951883316040039,-3.6545090675354004,-4.522129535675049,-0.3666704297065735,1.0475956201553345,1.3625742197036743,-1.6272883415222168
-1.1120645999908447,0.022062523290514946,-1.2554851770401,-0.3793278932571411,0.16471198201179504,0.7834004759788513,0.463965505361557,-3.6862168312072754,-4.075315475463867,-5.161036491394043,-0.7490869760513306,1.1781296730041504,1.2912057638168335,0.2999092936515808
-1.2738358974456787,0.011399572715163231,-1.2812949419021606,0.4500974714756012,0.8802134990692139,-0.007152022793889046,-0.15028400719165802,-3.4596943855285645,-4.568106174468994,-6.9678473472595215,-1.478073000907898,0.2754408121109009,1.215840220451355,-1.7724539041519165
