x,y,z,rot_0,rot_1,rot_2,rot_3,scale_0,scale_1,scale_2,opacity,f_dc_0,f_dc_1,f_dc_2
-1.078683853149414,-0.044276900589466095,-0.5688425898551941,0.8113396167755127,0.5655516386032104,0.09078779071569443,-0.11677733808755875,-3.0493969917297363,-3.1422460079193115,-4.1350603103637695,-0.491333544254303,-1.117845892906189,-1.1741909980773926,-1.1944228410720825
-1.0648897886276245,-0.00297166989184916,-0.5602574348449707,0.7315853834152222,0.6651124358177185,-0.10406550019979477,0.10760384798049927,-2.5186362266540527,-4.687653541564941,-5.741149425506592,-0.06568055599927902,-1.7107014656066895,-1.7724539041519165,-1.7724539041519165
-1.1657891273498535,-0.008528401143848896,-0.4076140224933624,-0.48628753423690796,0.44782933592796326,0.5134875774383545,0.5470867156982422,-2.3695194721221924,-2.981360912322998,-4.71799898147583,-1.7208237648010254,-0.6636339426040649,-0.8226783871650696,-0.8510878086090088
-0.9347009062767029,0.0016264856094494462,-0.5877872705459595,0.6983482837677002,0.7154955863952637,-0.011859328486025333,0.015334110707044601,-2.477747917175293,-4.494348049163818,-6.548873424530029,-1.662952184677124,-1.7707788944244385,-1.7699201107025146,-1.771580696105957
-1.06594979763031,-0.00019322788284625858,-0.4616965353488922,0.6968614459037781,0.692143440246582,-0.1269669234752655,0.13856756687164307,-2.435779571533203,-3.6136281490325928,-6.498382091522217,-2.57747745513916,-1.7283692359924316,-1.7568979263305664,-1.7706842422485352
-1.0060142278671265,0.0017280702013522387,-0.5142160654067993,0.696212649345398,0.7111895084381104,-0.06545905023813248,0.07219801843166351,-2.352524995803833,-3.9682061672210693,-6.442898273468018,-2.4667489528656006,0.6672019958496094,0.41709569096565247,0.39605456590652466
-0.8801962733268738,-0.022958172485232353,-0.5616781115531921,0.6702570915222168,0.7323686480522156,-0.09911362081766129,0.0675877258181572,-2.313041925430298,-3.7789433002471924,-4.077271461486816,-0.11202351748943329,-0.885623037815094,-0.9176687598228455,-0.9253310561180115
-0.8085159063339233,0.002766659948974848,-0.5342239141464233,0.7101887464523315,0.6986106038093567,-0.05924965813755989,0.0637543573975563,-2.5552964210510254,-3.321342706680298,-5.572806358337402,-3.8675780296325684,1.3070483207702637,1.0277783870697021,0.8771436214447021
-0.8509573936462402,0.0037714550271630287,-0.5112483501434326,0.6811175346374512,0.6811602115631104,0.19521883130073547,-0.18436190485954285,-2.819049835205078,-3.288227081298828,-6.671710014343262,-2.4414193630218506,-1.7721097469329834,-1.7710773944854736,-1.7724539041519165
-0.8730037212371826,0.002126255538314581,-0.49450066685676575,0.6707245111465454,0.66618412733078,-0.21538351476192474,0.2448209822177887,-3.050619125366211,-3.552649736404419,-5.930420875549316,-2.383145570755005,-1.7690563201904297,-1.7344305515289307,-1.7599201202392578
