x,y,z,rot_0,rot_1,rot_2,rot_3,scale_0,scale_1,scale_2,opacity,f_dc_0,f_dc_1,f_dc_2
-4.6843743324279785,0.5283148288726807,-2.3111379146575928,0.41136106848716736,0.5656333565711975,0.7145344018936157,0.016779102385044098,-1.2167454957962036,-1.4571300745010376,-3.309767961502075,16.11809539794922,-1.4752373695373535,-1.4495741128921509,-1.3365778923034668
-4.706958770751953,0.6833247542381287,-2.1661956310272217,-0.42223426699638367,0.6137851476669312,0.24730370938777924,0.6195376515388489,-1.340958595275879,-1.9367542266845703,-3.5803844928741455,0.33460429310798645,-1.5891525745391846,-1.6218279600143433,-1.525233268737793
-4.688587188720703,0.5507405996322632,-2.006810426712036,0.5718531012535095,-0.6768413782119751,-0.22347106039524078,-0.4061163663864136,-1.8378007411956787,-1.9907586574554443,-2.6546337604522705,1.1538031101226807,-1.7724539041519165,-1.7724539041519165,-1.765602946281433
-4.362353801727295,0.7583468556404114,-2.105267286300659,0.7868708372116089,-0.3982853889465332,-0.39762502908706665,-0.2531745433807373,-1.2631983757019043,-1.6669743061065674,-2.1623330116271973,16.11809539794922,-1.472314715385437,-1.3378266096115112,-1.2649236917495728
-4.495388507843018,0.9996735453605652,-2.1844613552093506,0.6981905102729797,-0.5743946433067322,0.42509353160858154,-0.0435461662709713,-5.626548767089844,-1.6731922626495361,-2.224106788635254,5.537334442138672,-0.8091548681259155,-0.9275637865066528,-0.9141528010368347
-4.594959259033203,0.8805056810379028,-2.0065362453460693,0.708823561668396,0.4919143617153168,0.4760884642601013,0.17008571326732635,-1.7380681037902832,-2.4797451496124268,-3.3564367294311523,1.8426556587219238,-0.9232607483863831,-0.9428147673606873,-0.9481515884399414
-4.4182281494140625,0.9989196062088013,-2.0376245975494385,0.5114418864250183,0.8531076312065125,-0.10312008857727051,-0.000877865357324481,-1.973268985748291,-2.1236374378204346,-2.7893996238708496,16.11809539794922,-0.836885929107666,-0.8422285318374634,-0.7031567692756653
-4.800914287567139,0.1746002733707428,-1.6853352785110474,0.45535919070243835,0.6801874041557312,0.5120071172714233,0.2604646682739258,-1.1375333070755005,-1.4628031253814697,-2.739910125732422,1.8692513704299927,-1.5616707801818848,-1.4942584037780762,-1.3699158430099487
-4.736315727233887,0.2986171543598175,-1.7543015480041504,0.7499163150787354,0.119219571352005,-0.6396788954734802,0.1192607656121254,-1.71377432346344,-1.810260534286499,-3.3240160942077637,1.3296371698379517,-1.1777100563049316,-1.098052978515625,-1.2071096897125244
-4.335224628448486,0.3253442943096161,-1.8298665285110474,-0.6711639165878296,0.7018079161643982,-0.17625829577445984,-0.1610516905784607,-5.7378106117248535,-1.3618265390396118,-1.4327350854873657,5.537334442138672,-1.4927864074707031,-1.3603123426437378,-1.437507152557373
-4.6051154136657715,0.42384329438209534,-1.624852180480957,0.9559114575386047,-0.1463324874639511,0.10374400019645691,0.23250213265419006,-1.6394928693771362,-2.747877359390259,-3.0449252128601074,1.835105299949646,-1.7724539041519165,-1.7724539041519165,-1.7724539041519165
-4.846715927124023,0.22513437271118164,-1.3488168716430664,0.8591722249984741,-0.3960627317428589,0.25505611300468445,-0.19975939393043518,-7.085792064666748,-2.669562339782715,-1.695043683052063,-1.9061697721481323,-1.7724539041519165,-1.7312397956848145,-1.4793754816055298
-4.658353805541992,0.3827137351036072,-1.3520671129226685,0.8406125903129578,-0.39829882979393005,0.008165035396814346,0.36696305871009827,-2.0535552501678467,-2.6944329738616943,-3.1875882148742676,0.33970871567726135,-1.7724539041519165,-1.7500427961349487,-1.6626205444335938
-3.992203950881958,0.4564438760280609,-1.5722485780715942,0.4378117322921753,0.8470752239227295,0.22424523532390594,0.20124246180057526,-1.5527726411819458,-1.6991814374923706,-2.821284532546997,16.11809539794922,-1.4482065439224243,-1.3572207689285278,-1.3676193952560425
-3.768925905227661,0.2937544882297516,-1.4343721866607666,0.8158844113349915,-0.054312288761138916,-0.5723137855529785,-0.061965834349393845,-1.4329994916915894,-1.6260329484939575,-3.7845864295959473,16.11809539794922,-1.2731605768203735,-1.1981408596038818,-1.0112394094467163
-4.604255676269531,0.9228107333183289,-1.8988025188446045,0.3703252673149109,0.9035187363624573,-0.18089763820171356,-0.11742725968360901,-2.011751413345337,-2.788808822631836,-3.881810426712036,1.601060390472412,0.0040251812897622585,-0.067145936191082,-0.15465512871742249
-4.547054290771484,0.7867274880409241,-1.8155263662338257,-0.5204803347587585,0.7790090441703796,-0.2315549999475479,-0.261968195438385,-10,-1.7977385520935059,-1.850650429725647,-1.4615178108215332,-1.2338351011276245,-1.257277011871338,-0.9769552946090698
-4.521859169006348,0.9512556195259094,-1.8427163362503052,0.39877694845199585,0.342338889837265,0.8290753960609436,0.1908271312713623,-1.5748372077941895,-2.864954948425293,-3.62703275680542,1.0036673545837402,-0.7232110500335693,-0.7039490938186646,-0.6256572008132935
-4.672774314880371,0.9036390781402588,-1.8050971031188965,0.7811796069145203,-0.5287748575210571,0.09746046364307404,0.3172649145126343,-7.085792064666748,-1.5931267738342285,-3.188868761062622,0.26028311252593994,-0.5191293358802795,-0.5051186680793762,-0.5582718849182129
-4.079345226287842,0.9596633911132812,-1.9306122064590454,0.9696983098983765,-0.2387077361345291,0.03622247651219368,0.037306539714336395,-1.9252188205718994,-2.28155779838562,-3.0046708583831787,16.11809539794922,-1.191611647605896,-1.1674221754074097,-0.9903450608253479
-3.8788435459136963,0.8932005167007446,-1.8050971031188965,-0.4582715630531311,0.8803514242172241,0.0739593580365181,0.09746046364307404,-1.9763002395629883,-7.055370330810547,-2.1974313259124756,5.537334442138672,-1.161328673362732,-1.0821168422698975,-0.7676135897636414
-4.047454357147217,0.7909706234931946,-1.6428791284561157,0.006435696966946125,0.48299500346183777,0.8707967400550842,-0.09158303588628769,-1.9181174039840698,-2.805253267288208,-4.187057018280029,2.600796699523926,-0.9515258073806763,-0.9242789149284363,-0.40599551796913147
-4.006285667419434,0.9203407168388367,-1.6838568449020386,-0.2923814058303833,0.9304091334342957,-0.09746046364307404,0.19837696850299835,-1.4670628309249878,-4.600029468536377,-4.113617897033691,1.2005772590637207,0.2680828273296356,0.2573431432247162,0.5093709826469421
-4.695188999176025,0.46611514687538147,-1.365538477897644,0.6660071611404419,-0.15664558112621307,-0.5066176652908325,-0.5246285796165466,-1.929662823677063,-2.3208730220794678,-2.9223508834838867,0.044842954725027084,-0.8093108534812927,-0.6315503716468811,-0.9404387474060059
-4.656357288360596,0.6948308944702148,-1.4515248537063599,0.5018237829208374,-0.6990277171134949,-0.2864598333835602,-0.4212764501571655,-2.303083658218384,-2.8589582443237305,-3.6894657611846924,16.11809539794922,-0.2856692373752594,-0.03880564868450165,-0.583279550075531
-3.7189748287200928,0.6749886274337769,-1.5070651769638062,0.769746720790863,0.2630540430545807,0.4470815658569336,0.3720357418060303,-1.6880600452423096,-2.0615973472595215,-2.390075206756592,0.4039279818534851,-0.7777778506278992,-0.8496745228767395,-0.45207086205482483
-3.735901355743408,0.5487289428710938,-1.3644607067108154,0.6621013283729553,-0.6075726747512817,-0.05875276401638985,0.4347704350948334,-1.6724694967269897,-2.740731716156006,-7.007904052734375,2.3599960803985596,-1.2131189107894897,-1.2160627841949463,-0.997889518737793
-4.263580322265625,0.7063667178153992,-1.1460484266281128,0.6913591027259827,0.030538760125637054,0.5040258169174194,0.5167668461799622,-1.3500381708145142,-3.1216535568237305,-3.644462823867798,-1.028518557548523,0.3381179869174957,0.6604189872741699,-0.16007982194423676
-3.9563422203063965,0.8347447514533997,-1.53263258934021,-0.4803902506828308,0.7848406434059143,0.20667147636413574,-0.3324715197086334,-2.511213541030884,-10,-2.6331303119659424,-0.6233513951301575,-0.44662293791770935,-0.3505656123161316,0.13255585730075836
-3.177081823348999,0.8780815601348877,-1.5191508531570435,0.7406322956085205,-0.21126197278499603,-0.6310744285583496,-0.09261362999677658,-1.2125526666641235,-1.8122532367706299,-2.5384809970855713,-1.177121639251709,-1.7724539041519165,-1.7724539041519165,-1.6371067762374878
-3.2880704402923584,1.0172758102416992,-1.8018149137496948,0.15006428956985474,0.7584635615348816,0.5957726240158081,0.21741357445716858,-1.4594670534133911,-2.230692148208618,-2.6319754123687744,2.237058401107788,-0.8303381204605103,-0.8219828009605408,-0.5888521671295166
-3.2681479454040527,0.6876083612442017,-1.1812944412231445,0.6854267120361328,-0.16136744618415833,-0.6143249869346619,-0.3560274839401245,-1.713908076286316,-1.9454805850982666,-4.2634053230285645,1.0979622602462769,-1.2405763864517212,-1.1825333833694458,-1.0319511890411377
-3.0624260902404785,0.5322492122650146,-1.2380304336547852,0.6821152567863464,0.6179082989692688,0.38795721530914307,0.048962488770484924,-1.3461462259292603,-2.0501208305358887,-2.171449661254883,16.11809539794922,-1.7724539041519165,-1.7724539041519165,-1.5873888731002808
-3.413851261138916,0.7637627124786377,-1.5547947883605957,0.762016773223877,-0.5190979242324829,-0.2702627182006836,-0.27717480063438416,-2.310086250305176,-7.437905311584473,-2.8598716259002686,5.537334442138672,-1.0784642696380615,-1.1336345672607422,-0.966488242149353
-3.3253467082977295,0.8496962189674377,-1.5357580184936523,0.9856438636779785,-0.1663873791694641,-0.015840502455830574,0.023885635659098625,-1.9600090980529785,-2.224421262741089,-3.200897216796875,0.7855632901191711,-0.18163307011127472,-0.16235725581645966,0.1805262714624405
-3.5234763622283936,0.9659863114356995,-1.671429991722107,0.9388499855995178,-0.03185933828353882,-0.24354301393032074,-0.24131399393081665,-1.7392222881317139,-2.286736249923706,-3.3010780811309814,0.9045782685279846,-1.107581377029419,-1.0708398818969727,-0.8406903147697449
-3.056959867477417,0.9310901761054993,-1.4574273824691772,0.45848026871681213,0.388872355222702,0.7071027755737305,0.37226301431655884,-1.548883080482483,-2.1546640396118164,-3.5944764614105225,0.3491593301296234,-1.0370135307312012,-1.0163147449493408,-0.8634012937545776
-2.6932573318481445,0.9144934415817261,-1.561698079109192,0.22184880077838898,0.5186456441879272,0.8175387382507324,-0.11584572494029999,-1.4004278182983398,-1.6126246452331543,-3.8582773208618164,4.001734733581543,-1.5204538106918335,-1.5395376682281494,-1.286077857017517
-4.477009296417236,1.4673254489898682,-2.3459532260894775,0.4835728406906128,0.7879573106765747,0.2874275743961334,-0.2503318190574646,-1.293172836303711,-1.7301725149154663,-2.7413547039031982,3.669415235519409,0.15414878726005554,0.17148639261722565,0.2449130415916443
-3.6631619930267334,1.4490394592285156,-2.3347887992858887,0.5392948389053345,-0.27572593092918396,-0.2642056941986084,-0.7505542039871216,-1.3090463876724243,-1.72705078125,-2.840200901031494,16.11809539794922,-0.4507067799568176,-0.3958421051502228,-0.32923415303230286
-4.757326126098633,1.278325080871582,-2.1991968154907227,0.7116217613220215,0.6517145037651062,-0.2542434632778168,0.06498387455940247,-2.0210373401641846,-2.5899319648742676,-2.682257890701294,16.11809539794922,-0.8365209102630615,-0.9155142903327942,-0.8517500162124634
-4.479888916015625,1.0518661737442017,-2.039755344390869,-0.539834201335907,0.8131881952285767,-0.08916595578193665,0.19837696850299835,-2.0019760131835938,-4.24418306350708,-3.2511115074157715,5.537334442138672,-0.9748837351799011,-1.2469733953475952,-1.4479742050170898
-4.505721569061279,1.4506181478500366,-2.1883723735809326,-0.5343045592308044,0.7379804253578186,-0.0435461662709713,0.4098869264125824,-3.1873440742492676,-2.5361199378967285,-4.011361598968506,0.95225590467453,-0.44662293791770935,-0.525725781917572,-0.28612759709358215
-4.697961807250977,1.6008079051971436,-2.316971778869629,0.6191860437393188,-0.4323905408382416,-0.35551100969314575,-0.5506895184516907,-1.3513140678405762,-1.759579062461853,-2.5034327507019043,1.301643967628479,0.6134722232818604,0.5924142599105835,0.724155604839325
-3.9937140941619873,1.3258534669876099,-2.1575427055358887,-0.429838627576828,0.2168748527765274,0.5462524890899658,0.6854285597801208,-1.5288690328598022,-1.7755681276321411,-3.2951605319976807,1.7403985261917114,-1.1505379676818848,-1.1605199575424194,-0.8845517635345459
-4.072032451629639,1.5020724534988403,-2.1739726066589355,0.8157849311828613,-0.18863357603549957,-0.5457110404968262,-0.03334326669573784,-1.6714810132980347,-2.021888494491577,-3.585996150970459,0.5366357564926147,-0.04570193588733673,0.07195798307657242,0.020117321982979774
-4.070713043212891,1.6075290441513062,-2.295941114425659,0.6498048305511475,-0.4906797707080841,-0.10416209697723389,-0.5710843205451965,-1.2808382511138916,-2.8246006965637207,-3.0439367294311523,1.5964182615280151,-0.5904272198677063,-0.6737980842590332,-0.5259832143783569
-3.8787753582000732,1.51304292678833,-2.165548324584961,0.5054709315299988,0.86195969581604,0.020281335338950157,-0.033366087824106216,-2.1340014934539795,-2.17383074760437,-2.9851746559143066,16.11809539794922,-1.1585513353347778,-1.300370693206787,-1.2138564586639404
-3.1210784912109375,1.3587591648101807,-2.138833522796631,-0.5799243450164795,0.7037332057952881,0.37809130549430847,0.15966928005218506,-1.9292278289794922,-5.792115211486816,-1.695043683052063,5.537334442138672,-1.6170830726623535,-1.5766866207122803,-1.5107767581939697
-3.509035110473633,1.3900048732757568,-2.0096065998077393,-0.0415169894695282,0.7822955846786499,0.5092992186546326,0.35623618960380554,-1.868117332458496,-2.2119555473327637,-3.0749549865722656,0.7911722660064697,-0.8307657837867737,-0.7927276492118835,-0.7080100178718567
-2.592365264892578,1.5550035238265991,-2.267895460128784,-0.38638582825660706,0.8941003680229187,0.1914648860692978,0.12096156924962997,-1.3985939025878906,-8.051740646362305,-1.6461386680603027,5.537334442138672,-1.6792314052581787,-1.7724539041519165,-1.406105875968933
-4.361057281494141,1.8117914199829102,-2.4321563243865967,0.7930570840835571,-0.5826891660690308,0.1527571827173233,-0.09054837375879288,-1.8222452402114868,-6.7795891761779785,-3.4467315673828125,5.537334442138672,-0.5605615377426147,-0.6596717834472656,-0.6001402139663696
-3.910762071609497,1.8338358402252197,-2.4438228607177734,0.4522303342819214,0.8799574375152588,-0.029013188555836678,0.14255136251449585,-1.6830015182495117,-1.9888497591018677,-3.2673795223236084,16.11809539794922,-0.2536371052265167,-0.36877015233039856,-0.053188424557447433
-4.813994407653809,1.9203522205352783,-2.669422149658203,-0.5564232468605042,0.8302196860313416,0.02004506066441536,-0.026957150548696518,-1.325845718383789,-4.831329822540283,-2.615346670150757,5.537334442138672,-0.871303141117096,-1.1336345672607422,-0.997889518737793
-4.351961612701416,1.8431998491287231,-2.353332281112671,0.4679509997367859,0.8126609325408936,-0.3302239179611206,0.10749968141317368,-1.0444704294204712,-2.200512647628784,-3.8690366744995117,-0.2631264626979828,0.04149610921740532,-0.051203127950429916,-0.15135954320430756
